"Reference","Value","Footprint","Alt. Manufacturer","Alt. Mfg P/N","Description","Digi-Key_PN","Insert","Insert?","LCSC","MPN","MPN(Secondary)","Manufacturer","Manufacturer(Secondary)","Manufacturer_Name","Manufacturer_Part_Number","Mfg P/N","Mouser Part Number","Mouser Price/Stock","Populate","Status","Supplier (2nd)","Supplier (Primary)","Supplier SKU (2nd)","Supplier SKU (Primary)","User Optional","Value_Modifer","Value_Modifier","Qty"
"U7","SSP9193-33M5R","Package_TO_SOT_SMD:SOT-23-5","","","Fixed 3.3V 300mV @ 300mA SOT-23-5 Dropout Regulators(LDO) RoHS","","","","C411022","SGM2007-3.3XN5_TR","","","","SG Micro","SGM2007-3.3XN5/TR","","SGM2007-3.3XN5/TR","https://www.mouser.com/","yes","","","","","","","","","1"
"U8","SN74LV1T125DBVR","Package_TO_SOT_SMD:SOT-23-5","","","IC BUF NON-INVERT 5.5V SOT23-5","","","Yes","C473338","SN74LV1T125DBVR","M74VHC1GT125DT1G","","OnSemi","Texas Instruments","","","","","yes","","","","","","","","","1"
"U9","LM393","Core_64_KiCad_Library:SOIC-8_W3.9mm","","","IC COMPARATOR LP DUAL 8-SOIC","","","Yes","C7955","LM393DT","LM393DR","","Rohm","STMicroelectronics","","","","","yes","","","","","","","","","1"
"U10","SN74HC02DR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","","IC GATE NOR 4CH 2-INP 14SOIC","","","Yes","C350559","SN74HC02DR","","","","Texas Instruments","","","","","yes","","","","","","","","","1"
"U11","SI7210-B-00-IV","Package_TO_SOT_SMD:SOT-23-5","None","None","Si7210 Series I2C Hall Effect Magnetic Position and Temperature Sensor","","YES","","","","","","","Silicon Labs","","SI7210-B-00-IV","","","","","Arrow","Newark","si7210-b-00-iv","31AC1357","","","","1"
"U12","SI7210-B-02-IV","Package_TO_SOT_SMD:SOT-23-5","None","None","Si7210 Series I2C Hall Effect Magnetic Position and Temperature Sensor","","YES","","","","","","","Silicon Labs","","SI7210-B-02-IV","","","","","Mouser","Newark","634-SI7210-B-02-IV","31AC1359","","","","1"
"U13","SI7210-B-03-IV","Package_TO_SOT_SMD:SOT-23-5","None","None","Si7210 Series I2C Hall Effect Magnetic Position and Temperature Sensor","","YES","","","","","","","Silicon Labs","","SI7210-B-03-IV","","","","","Mouser","Newark","634-SI7210-B-03-IV","31AC1360","","","","1"
"U14","SI7210-B-04-IV","Package_TO_SOT_SMD:SOT-23-5","None","None","Si7210 Series I2C Hall Effect Magnetic Position and Temperature Sensor","","YES","","","","","","","Silicon Labs","","SI7210-B-04-IV","","","","","Arrow","Mouser","si7210-b-04-iv","634-SI7210-B-04-IV","","","","1"
"X8","SAO_conn_SFH11-NBPC-D03-ST-BK","Core_64_KiCad_Library:Badgelife-SAOv169-BADGE-2x3","","","CONN HDR 6POS KEYED SOCKET 0.1 T.H.","","","Yes","","SFH11-NBPC-D03-ST-BK","","","","Sullins","","","","","DNP","","","","","","yes","","","1"
"X9","QWIIC","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","","","","","","","C160404","","","","","","","","","","yes","","","","","","","","","1"
